清 qing1 清 shin
初 chu1 初 hatsu/ubu
颗 ke1 顆 ka
春 chun1 春 haru
奇 ji1 奇 ki
鸟 niao3 鳥 tori
桥 qiao2 橋 hashi/kyou
理 li3 理 ri/kotowari
土 tu3 土 tsuchi/do
恩 en1 恩 on
具 ju4 具 gu
科 ke1 科 ka/shina
镇 zhen4 鎮 chin
河 he2 河 hoo
骑 qi2 騎 ki
食 shi2 食 shoku
器 qi4 器 ki/utsuwa
基 ji1 基 ki/motoi
似 si4 似 ni
义 yi4 義 gi
威 wei1 威 i
寺 si4 寺 ji/tera
形 xing2 形 nari/kei/katachi/kata
旁 pang2 旁 katagata/tsukuri
魔 mo2 魔 ma
角 jiao3 角 kado/kaku/tsuno
尚 shang4 尚 nao
典 dian3 典 nori/ten
熟 shu2 熟 tsukuzuku
希 xi1 希 ki
操 cao1 操 misao
峰 feng1 峰 mine
己 ji3 己 ki/onore/odore/na/ono
妹 mei4 妹 imouto
妙 miao4 妙 myou
议 yi4 議 gi
抄 chao1 抄 shou
键 jian4 鍵 kagi/ken
武 wu3 武 bu
帝 di4 帝 mikado
徒 tu2 徒 to/itazura/ada/kachi
麻 ma2 麻 asa
尿 niao4 尿 nyou
谓 wei4 謂 ii
息 xi1 息 iki
潮 chao2 潮 shio
季 ji4 季 ki
震 zhen4 震 shin
疑 yi2 疑 gi
胃 wei4 胃 i
珍 zhen1 珍 chin
尘 chen2 塵 chiri/jin/gomi
梁 liang2 梁 yana/hari/utsubari/ryou
庭 ting2 庭 niwa
拟 ni3 擬 gi
芝 zhi1 芝 shiba
仪 yi2 儀 gi
汁 zhi1 汁 shiru
忌 ji4 忌 ki
粘 zhan1 粘 neba
决 jue2 決 ketsu
锦 jin3 錦 nishiki
钉 ding1 釘 kugi
伟 wei3 偉 i/era
筑 zhu4 築 chiku
谱 pu3 譜 fu
脉 mai4 脈 myaku
舌 she2 舌 shita
兆 zhao4 兆 chou
穴 xue2 穴 ketsu/ana
笼 long2 籠 kago
儒 ru2 儒 ju
酥 su1 酥 so
