石,stone,"石 (いし): stone
石油 (せきゆ): oil
流石 (さすが): as one would expect
石鹸 (せっけん): soap
宝石 (ほうせき): gem"
仙,hermit,仙台 (せんだい): Sendai (city)
占,fortune telling,"占い (うらない): fortune-telling
独占 (どくせん): monopoly
占める (しめる): to occupy"
他,other,"他 (ほか): other (place, thing, person)
その他 (そのほか): etc.
他人 (たにん): another person
他者 (たしゃ): another person
他社 (たしゃ): another company"
打,hit,"打つ (うつ): to hit
打ち合わせ (うちあわせ): advance arrangements
打ち上げ (うちあげ): launching"
代,substitute,"時代 (じだい): period
代表 (だいひょう): representative
現代 (げんだい): nowadays
年代 (ねんだい): age
世代 (せだい): generation"
台,pedestal,"台 (だい): stand
舞台 (ぶたい): stage (theatre, theater)
台風 (たいふう): typhoon
仙台 (せんだい): Sendai (city)
台湾 (たいわん): Taiwan"
旦,daybreak,"旦那 (だんな): master (of a house, shop, etc.)
一旦 (いったん): once"
庁,government office,
田,rice paddy,"田舎 (いなか): hometown
田 (た): rice field
上田 (じょうでん): high rice field
田んぼ (たんぼ): paddy field"
奴,guy,"奴 (やつ): thing
奴隷 (どれい): slave"
冬,winter,冬 (ふゆ): winter
凸,convex,
丼,bowl of food,丼 (どんぶり): porcelain bowl
尼,nun,
白,white,"面白い (おもしろい): interesting
白 (しろ): white
白い (しろい): white
面白 (おもしろ): amusing
白人 (はくじん): white person"
半,half,"半分 (はんぶん): half
後半 (こうはん): second half
半 (はん): half
時半 (じはん): half past (the hour)
前半 (ぜんはん): first half"
氾,spread out,
犯,crime,"犯罪 (はんざい): crime
犯人 (はんにん): offender"
皮,skin,"皮膚 (ひふ): skin
皮 (かわ): skin
皮肉 (ひにく): irony"
必,without fail,"必要 (ひつよう): necessary
必ず (かならず): always
必死 (ひっし): frantic
必須 (ひっす): indispensable
必ずしも (かならずしも): not always"
氷,ice,氷 (こおり): ice
付,attach,"付け (つけ): bill
付き (つき): furnished with
付近 (ふきん): neighbourhood
受付 (うけつけ): reception (desk)
寄付 (きふ): contribution"
布,linen,"配布 (はいふ): distribution
布 (ぬの): cloth
布団 (ふとん): futon
財布 (さいふ): purse
昆布 (こんぶ): kombu (usu. Saccharina japonica)"
払,pay,"支払い (しはらい): payment
払う (はらう): to pay (e.g. money, bill)
払い (はらい): payment
支払う (しはらう): to pay"
丙,third class,
平,flat,"平和 (へいわ): peace
平均 (へいきん): average
平成 (へいせい): Heisei era (January 8, 1989-April 30, 2019)
平日 (へいじつ): weekday
平気 (へいき): coolness"
辺,environs,"辺 (へん): area
周辺 (しゅうへん): circumference
辺り (あたり): on the bank of
近辺 (きんぺん): neighbourhood"
弁,valve,"弁当 (べんとう): bento
弁護士 (べんごし): lawyer
弁 (べん): speech"
母,mother,"母 (はは): mother
お母さん (おかあさん): mother
母親 (ははおや): mother
祖母 (そぼ): grandmother
義母 (ぎぼ): mother-in-law"
包,wrap,包丁 (ほうちょう): kitchen knife
北,north,"北 (きた): north
北海道 (ほっかいどう): Hokkaido (island, prefectural-level administrative unit)
東北 (とうほく): north-east
北朝鮮 (きたちょうせん): North Korea
北京 (ペキン): Beijing (China)"
本,book,"日本 (にほん): Japan
本 (ほん): book
本当に (ほんとうに): really
基本 (きほん): basics
日本人 (にほんじん): Japanese person"
末,end,"末 (すえ): tip
端末 (たんまつ): end (e.g. of a roll of film)
週末 (しゅうまつ): weekend
年末 (ねんまつ): end-of-year
月末 (げつまつ): end of the month"
未,not yet,"未来 (みらい): the future (usually distant)
未 (ひつじ): eighth sign of the Chinese zodiac (The Ram, 1pm-3pm, south-southwest, June)
未だ (まだ): still
未満 (みまん): less than
未定 (みてい): not yet fixed"
民,people,"国民 (こくみん): people (of a country)
市民 (しみん): citizen
住民 (じゅうみん): inhabitant
民主党 (みんしゅとう): Democratic Party (esp. DPJ or US Democratic Party)
民主 (みんしゅ): democracy"
矛,halberd,矛盾 (むじゅん): contradiction
目,eye,"目 (め): eye
目的 (もくてき): purpose
目標 (もくひょう): mark
注目 (ちゅうもく): notice
項目 (こうもく): item"
由,reason,"理由 (りゆう): reason
自由 (じゆう): freedom
経由 (けいゆ): going through
由来 (ゆらい): origin
不自由 (ふじゆう): discomfort"
幼,infancy,"幼稚園 (ようちえん): kindergarten
幼い (おさない): very young
幼児 (ようじ): young child
幼少 (ようしょう): infancy"
用,use,"用 (よう): business
利用 (りよう): use
使用 (しよう): use
用意 (ようい): preparation
活用 (かつよう): practical use"
立,stand up,"立ち (たち): departure
立場 (たちば): position
独立 (どくりつ): independence
成立 (せいりつ): formation
立派 (りっぱ): splendid"
令,orders,"命令 (めいれい): order
司令 (しれい): command"
礼,thanks,"失礼 (しつれい): discourtesy
お礼 (おれい): thanks"
扱,handle,"扱い (あつかい): treatment
扱う (あつかう): to deal with (a person)
取り扱い (とりあつかい): treatment"
安,cheap,"安全 (あんぜん): safety
不安 (ふあん): anxiety
安心 (あんしん): relief
安い (やすい): cheap
安定 (あんてい): stability"
衣,clothes,"衣装 (いしょう): clothing
衣 (ころも): clothes
浴衣 (ゆかた): yukata (light cotton kimono worn in the summer or used as a bathrobe)"
芋,potato,芋 (いも): tuber
印,mark,"印象 (いんしょう): impression
印刷 (いんさつ): printing
印 (しるし): mark"
因,cause,"原因 (げんいん): cause
要因 (よういん): main cause
因みに (ちなみに): by the way"
宇,eaves,宇宙 (うちゅう): universe
羽,feather,羽 (はね): feather
汚,dirty,"汚染 (おせん): pollution
汚れ (よごれ): dirt
汚い (きたない): dirty"
仮,temporary,"仮想 (かそう): imagination
仮に (かりに): supposing
仮定 (かてい): assumption
仮 (かり): temporary
仮説 (かせつ): hypothesis"
回,times,"今回 (こんかい): now
回 (かい): counter for occurrences
前回 (ぜんかい): previous time
次回 (じかい): next time (occasion)
回復 (かいふく): restoration"
灰,ashes,
会,association,"会 (かい): meeting
会社 (かいしゃ): company
社会 (しゃかい): society
機会 (きかい): chance
会場 (かいじょう): assembly hall"
各,each,"各 (かく): each
各種 (かくしゅ): every kind
各地 (かくち): every place
各国 (かっこく): each nation
各自 (かくじ): each (person)"
汗,sweat,汗 (あせ): sweat
缶,tin can,缶 (かん): can
企,plan,"企業 (きぎょう): enterprise
企画 (きかく): planning"
伎,deed,
危,dangerous,"危険 (きけん): danger
危機 (きき): crisis
危ない (あぶない): dangerous"
机,desk,机 (つくえ): desk
気,feeling,"気 (き): spirit
気持ち (きもち): feeling
気分 (きぶん): feeling
雰囲気 (ふんいき): atmosphere
人気 (にんき): popularity"
吉,good luck,
休,rest,"休み (やすみ): rest
休憩 (きゅうけい): rest
連休 (れんきゅう): consecutive holidays
夏休み (なつやすみ): summer vacation
休日 (きゅうじつ): holiday"
吸,suck,"呼吸 (こきゅう): breathing
吸収 (きゅうしゅう): absorption
吸血鬼 (きゅうけつき): vampire"
朽,decay,
臼,mortar,
