一,one
宇,eaves
健,healthy
雪,snow
票,ballot
標,signpost
永,eternity
整,put in order
航,cruise
軽,light
億,hundred million
背,back
圭,square jewel
掛,hang
境,boundary
倉,warehouse
戻,re-
裏,back
便,convenience
幕,curtain
而,and also
端,edge
激,violent
訳,translate
雄,male
敵,enemy
候,climate
喜,rejoice
給,salary
捕,catch
如,likeness
札,tag
答,answer
麻,hemp
鬼,ghost
魔,witch
昼,daytime
枚,sheet of...
才,genius
材,lumber
輩,comrade
娘,daughter
息,breath
布,linen
怖,dreadful
街,street
倍,double
沖,open sea
陽,sunshine
従,obey
訪,visit
罪,guilt
致,(to) do
薬,medicine
押,push
項,paragraph
仮,temporary
途,route
斥,reject
訴,sue
妻,wife
卯,sign of the hare
留,detain
岸,beach
課,section
兆,portent
逃,escape
板,board
嬉,glad
含,include
探,grope
傷,wound
照,illuminate
税,tax
恋,romance
財,wealth
尢,lame leg
就,concerning
即,instant
節,node
責,blame
積,accumulate
亭,pavilion
停,halt
冷,cool
那,what
聴,listen
婦,lady
勤,diligence
皇,emperor
浦,bay
略,abbreviation
群,flock
雑,miscellaneous
吹,blow
継,inherit
囲,surround
圧,pressure
適,suitable
替,exchange
梅,ume (Japanese apricot)
房,tassel
幹,tree-trunk
伸,lengthen
到,arrival
倒,overthrow
絵,picture
昏,dark
婚,marriage
著,renowned
奥,heart
販,marketing
審,examine
厄,unlucky
危,dangerous
仙,hermit
艦,warship
浮,floating
短,short
廃,abolish
免,excuse
勉,exertion
染,dye
玄,mysterious
刻,engrave
章,chapter
障,hurt
悲,sad
敷,spread
弟,younger brother
屮,sprout
逆,inverted
瀬,rapids
雲,cloud
曇,cloudy weather
折,fold
講,lecture
額,amount
辛,spicy
避,evade
樹,trees
諸,various
農,farming
奴,guy
暗,dark
迎,welcome
廷,courts
庭,garden
善,good
創,create
筋,muscle
闘,fight
聖,holy
因,cause
埼,cape (geography)
華,splendor
針,needle
渋,astringent
魚,fish
鮮,fresh
秒,second (part of time)
怪,suspicious
環,ring
宗,religion
