庸,11
欲,11
翌,11
理,11
陸,11
略,11
粒,11
隆,11
涼,11
猟,11
陵,11
累,11
握,12
嵐,12
偉,12
椅,12
飲,12
運,12
雲,12
営,12
詠,12
越,12
媛,12
援,12
奥,12
温,12
渦,12
過,12
賀,12
絵,12
開,12
階,12
街,12
覚,12
割,12
葛,12
寒,12
喚,12
堪,12
換,12
敢,12
棺,12
款,12
間,12
閑,12
喜,12
幾,12
揮,12
期,12
棋,12
貴,12
欺,12
喫,12
給,12
距,12
御,12
暁,12
極,12
勤,12
琴,12
筋,12
遇,12
隅,12
敬,12
景,12
軽,12
結,12
圏,12
堅,12
検,12
減,12
湖,12
雇,12
喉,12
慌,12
港,12
硬,12
絞,12
項,12
詐,12
最,12
裁,12
策,12
酢,12
傘,12
散,12
紫,12
詞,12
歯,12
滋,12
軸,12
湿,12
煮,12
就,12
衆,12
集,12
循,12
順,12
暑,12
勝,12
掌,12
晶,12
焼,12
焦,12
硝,12
粧,12
詔,12
証,12
象,12
場,12
畳,12
植,12
殖,12
森,12
診,12
尋,12
須,12
遂,12
随,12
婿,12
晴,12
税,12
絶,12
善,12
然,12
疎,12
訴,12
創,12
喪,12
痩,12
葬,12
装,12
測,12
属,12
尊,12
堕,12
惰,12
替,12
貸,12
隊,12
達,12
棚,12
短,12
弾,12
遅,12
着,12
貯,12
朝,12
貼,12
超,12
椎,12
痛,12
塚,12
堤,12
提,12
程,12
渡,12
塔,12
搭,12
棟,12
湯,12
痘,12
登,12
答,12
等,12
筒,12
統,12
童,12
道,12
鈍,12
廃,12
媒,12
買,12
博,12
斑,12
飯,12
晩,12
番,12
蛮,12
悲,12
扉,12
費,12
備,12
筆,12
評,12
富,12
普,12
幅,12
復,12
雰,12
塀,12
遍,12
補,12
募,12
報,12
傍,12
帽,12
棒,12
貿,12
満,12
無,12
喩,12
愉,12
湧,12
猶,12
裕,12
遊,12
雄,12
揚,12
揺,12
葉,12
陽,12
絡,12
落,12
痢,12
硫,12
量,12
塁,12
裂,12
廊,12
惑,12
湾,12
腕,12
愛,13
暗,13
彙,13
意,13
違,13
園,13
煙,13
猿,13
遠,13
鉛,13
塩,13
虞,13
嫁,13
暇,13
禍,13
靴,13
雅,13
塊,13
楷,13
解,13
慨,13
蓋,13
該,13
較,13
隔,13
楽,13
滑,13
褐,13
勧,13
寛,13
幹,13
感,13
漢,13
頑,13
棄,13
毀,13
義,13
詰,13
嗅,13
業,13
僅,13
禁,13
愚,13
窟,13
群,13
傾,13
携,13
継,13
詣,13
隙,13
傑,13
嫌,13
献,13
絹,13
遣,13
源,13
誇,13
鼓,13
碁,13
溝,13
鉱,13
傲,13
債,13
催,13
塞,13
歳,13
載,13
罪,13
搾,13
嗣,13
試,13
詩,13
資,13
飼,13
慈,13
辞,13
嫉,13
腫,13
愁,13
酬,13
準,13
署,13
傷,13
奨,13
照,13
詳,13
蒸,13
飾,13
触,13
寝,13
慎,13
新,13
腎,13
睡,13
数,13
裾,13
勢,13
聖,13
誠,13
跡,13
摂,13
節,13
戦,13
煎,13
羨,13
腺,13
詮,13
践,13
禅,13
塑,13
僧,13
想,13
賊,13
続,13
損,13
滞,13
滝,13
嘆,13
暖,13
痴,13
稚,13
置,13
蓄,13
腸,13
