















丸,丶九
波,氵皮
拝,扌一丰
杯,木不
拍,扌白丿日
泊,氵白丿日
迫,辶白丿日
板,木反厂又
版,片反厂又
彼,彳皮
披,扌皮
肥,月巴巳丨

泌,氵必心丿
表,龶𧘇
苗,艹田
府,广丶厂付亻寸
怖,忄布𠂇巾
阜,𠂤丿㠯十
附,⻖付亻寸
侮,亻毎𠂉毋
武,一弋止
服,月𠬝卩又
沸,氵弗丿丨弓
物,牜勿勹丿
併,亻并丷开一廾
並,䒑业
歩,止少ノ小
奉,𡗗一十大
宝,宀玉王
抱,扌包勹己
放,方丶万攵
法,氵去厶土
泡,氵包勹己
房,戸一尸方丶万
肪,⺼方丶万
牧,牜攵
奔,大卉十廾
妹,女未木
枚,木攵
枕,木冘
抹,扌末木
味,口未木
岬,山甲田｜
命,亼人一叩口卩
明,日月
免,⺈儿
茂,艹戊丿戈弋
盲,亡亠𠃊目

夜,亠亻夂丶
弥,弓尔
油,氵由十囗
拉,扌立
林,木
例,亻列歹刂一夕
炉,火八人戸一尸
和,禾口
枠,木卆九十
哀,衣亠𧘇口
威,女戌戊一丿戈弋

畏,田
胃,田月
茨,艹次冫欠
咽,口因大
姻,女因口大
映,日央
栄,木⺍冖
疫,疒冫广丶厂殳几又
怨,夗心
屋,尸至一厶土
卸,𦈢卩
音,立日
科,禾斗
架,加力口木
悔,忄毎𠂉毋
海,氵毎𠂉毋
界,田介人丿丨
皆,比白丿日
垣,土亘一旦日
柿,木市亠巾

括,扌舌千口
活,氵舌千口
冠,元二儿寸
巻,己
看,手目
紀,糸幺小已
軌,車九
客,宀各夂口
逆,⻌屰䒑屮
虐,虍
急,刍⺈彐心
級,糸幺小及ノ乃𠄎丿
糾,糸幺小丩
峡,山夹
挟,扌夹
狭,犬大丶夹
軍,冖車
係,亻系糸幺小
型,刑开刂一廾土
契,㓞丰刀大
計,訁亖口十
建,廴聿肀二
研,石开一廾
県,𠃊目小
限,⻖艮
孤,子瓜
弧,弓瓜
故,古十口攵
枯,木古十口
後,彳夂幺
侯,亻矢𠂉大ユ
厚,厂日子
恒,忄亘一旦日
洪,氵共龷八
皇,王白丿日
紅,糸幺小工
荒,艹巟亡川亠𠃊
郊,交亠父⻏
香,日禾
拷,扌考耂丂
恨,忄艮
査,木且
砂,石少ノ小
砕,石卆九十
削,刂肖肉小内人冂
昨,日乍丿
柵,木冊
咲,口关丷天一大

姿,女次冫欠
思,心田
指,扌旨日匕
施,方丶万𠂉也乜丨
持,扌寺土寸
室,宀至一厶土
狩,犬大丶守宀寸
首,䒑自
拾,扌合亼口人一
秋,火八人禾
臭,自大
柔,木矛
重,里田土千
祝,礻兄儿口
俊,亻夋允夂
春,日𡗗
盾,目斤
叙,又余亼朩人一
昭,日召刀口
乗,丿
