永,eternity,"永遠 (えいえん): eternity
永久 (えいきゅう): eternity",117
凹,concave,,118
央,center,中央 (ちゅうおう): centre,119
加,add,"参加 (さんか): participation
追加 (ついか): addition
増加 (ぞうか): increase
加工 (かこう): manufacturing
加速 (かそく): acceleration",120
可,possible,"可能 (かのう): possible
可愛い (かわいい): cute
不可能 (ふかのう): impossible
許可 (きょか): permission
可 (か): passable",121
瓦,tile,瓦礫 (がれき): rubble,122
外,outside,"以外 (いがい): with the exception of
外 (そと): outside
海外 (かいがい): foreign
外国 (がいこく): foreign country
意外 (いがい): unexpected",123
且,moreover,且つ (かつ): yet,124
刊,publish,"刊行 (かんこう): publication
創刊 (そうかん): launching (e.g. newspaper)
週刊 (しゅうかん): weekly publication",125
甘,sweet,"甘い (あまい): sweet-tasting
甘え (あまえ): lack of self-reliance",126
丘,hill,丘 (おか): hill,127
旧,old times,"旧 (きゅう): ex-
復旧 (ふっきゅう): restoration",128
去,leave,"過去 (かこ): the past
去年 (きょねん): last year
除去 (じょきょ): removal
去る (さる): to leave
撤去 (てっきょ): withdrawal",129
巨,gigantic,"巨大 (きょだい): huge
巨人 (きょじん): giant",130
玉,ball,"玉 (たま): ball
目玉 (めだま): eyeball
埼玉 (さいたま): Saitama (city)
玉ねぎ (たまねぎ): onion (Allium cepa)",131
句,phrase,"句 (く): section (i.e. of text)
俳句 (はいく): haiku
句集 (くしゅう): collection of haiku poems
文句 (もんく): complaint
挙句 (あげく): in the end (after a long process)",132
兄,older brother,"兄 (あに): elder brother
兄弟 (きょうだい): siblings
兄さん (にいさん): older brother
兄ちゃん (あんちゃん): (one's) older brother",133
穴,hole,穴 (あな): hole,134
玄,mysterious,玄関 (げんかん): entrance,135
古,old,"古い (ふるい): old
名古屋 (なごや): Nagoya (city)
中古 (ちゅうこ): used
古 (いにしえ): antiquity
古代 (こだい): ancient times",136
功,achievement,成功 (せいこう): success,137
巧,adroit,巧み (たくみ): skillful,138
広,wide,"広告 (こうこく): advertisement
広い (ひろい): spacious
広島 (ひろしま): Hiroshima (city)
広がる (ひろがる): to spread (out)
広場 (ひろば): plaza",139
甲,armor,"甲斐 (かい): effect
甲状腺 (こうじょうせん): thyroid gland",140
号,number,"号 (ごう): number
番号 (ばんごう): number
信号 (しんごう): signal
記号 (きごう): symbol
暗号 (あんごう): code",141
込,crowded,"書き込み (かきこみ): writing
申し込み (もうしこみ): application
見込み (みこみ): hope
取り込む (とりこむ): to take in
込む (こむ): to be crowded",142
左,left,"左 (ひだり): left
左右 (さゆう): left and right
左側 (ひだりがわ): left
左手 (ひだりて): left hand
左上 (ひだりうえ): upper left",143
冊,counter for books,冊 (さつ): counter for books,144
札,tag,"札幌 (さっぽろ): Sapporo (city)
札 (さつ): banknote
改札 (かいさつ): examination of tickets
入札 (にゅうさつ): bid",145
皿,dish,皿 (さら): plate,146
仕,do,"仕事 (しごと): work
仕方 (しかた): way
仕様 (しよう): way
仕組み (しくみ): structure
仕上げ (しあげ): finish",147
史,history,"歴史 (れきし): history
史 (し): history
史上 (しじょう): in history",148
司,director,"上司 (じょうし): (one's) superior
寿司 (すし): sushi
司会 (しかい): leading a meeting
司令 (しれい): command
司法 (しほう): administration of justice",149
四,four,"四 (し): four
四国 (しこく): Shikoku (smallest of the four main islands of Japan)
四季 (しき): four seasons",150
市,market,"市 (いち): market
市場 (いちば): (town) market
市民 (しみん): citizen
都市 (とし): town
市内 (しない): (within a) city",151
矢,arrow,矢 (や): arrow,152
示,indicate,"表示 (ひょうじ): indication
展示 (てんじ): exhibition
示し (しめし): lesson
示す (しめす): to (take out and) show
指示 (しじ): indication",153
叱,scold,,154
失,lose,"失敗 (しっぱい): failure
失礼 (しつれい): discourtesy
失業 (しつぎょう): unemployment
損失 (そんしつ): loss (of assets, profit, etc.)
失う (うしなう): to lose",155
写,copy,"写真 (しゃしん): photograph
描写 (びょうしゃ): depiction
写生 (しゃせい): sketching
写し (うつし): copy",156
主,master,"主義 (しゅぎ): doctrine
主 (おも): chief
主張 (しゅちょう): claim
主人公 (しゅじんこう): protagonist
民主党 (みんしゅとう): Democratic Party (esp. DPJ or US Democratic Party)",157
囚,captured,,158
汁,soup,"汁 (しる): juice
味噌汁 (みそしる): miso soup",159
出,exit,"出 (で): coming out
出来 (しゅったい): occurrence
出し (だし): dashi (Japanese soup stock made from fish and kelp)
出来る (できる): to be able (in a position) to do
出る (でる): to leave",160
処,dispose,"処理 (しょり): processing
対処 (たいしょ): dealing with
何処 (どこ): where
処分 (しょぶん): disposal
処置 (しょち): measure",161
召,summon,,162
尻,buttocks,"尻 (しり): buttocks
尻尾 (しっぽ): tail (animal)",163
申,say,"申し訳 (もうしわけ): apology
申請 (しんせい): application
申し込み (もうしこみ): application
申告 (しんこく): report",164
世,world,"世界 (せかい): the world
世代 (せだい): generation
世の中 (よのなか): society
世界中 (せかいじゅう): around the world
世紀 (せいき): century",165
正,correct,"正直 (しょうじき): honest
正しい (ただしい): right
修正 (しゅうせい): amendment
正確 (せいかく): accurate
正式 (せいしき): due form",166
生,life,"生活 (せいかつ): living
先生 (せんせい): teacher
生き (いき): living
人生 (じんせい): (human) life (i.e. conception to death)
生まれ (うまれ): birth",167
斥,reject,,168
石,stone,"石 (いし): stone
石油 (せきゆ): oil
流石 (さすが): as one would expect
石鹸 (せっけん): soap
宝石 (ほうせき): gem",169
仙,hermit,仙台 (せんだい): Sendai (city),170
占,fortune telling,"占い (うらない): fortune-telling
独占 (どくせん): monopoly
占める (しめる): to occupy",171
他,other,"他 (ほか): other (place, thing, person)
その他 (そのほか): etc.
他人 (たにん): another person
他者 (たしゃ): another person
他社 (たしゃ): another company",172
打,hit,"打つ (うつ): to hit
打ち合わせ (うちあわせ): advance arrangements
打ち上げ (うちあげ): launching",173
代,substitute,"時代 (じだい): period
代表 (だいひょう): representative
現代 (げんだい): nowadays
年代 (ねんだい): age
世代 (せだい): generation",174
台,pedestal,"台 (だい): stand
舞台 (ぶたい): stage (theatre, theater)
台風 (たいふう): typhoon
仙台 (せんだい): Sendai (city)
台湾 (たいわん): Taiwan",175
旦,daybreak,"旦那 (だんな): master (of a house, shop, etc.)
一旦 (いったん): once",176
庁,government office,,177
田,rice paddy,"田舎 (いなか): hometown
田 (た): rice field
上田 (じょうでん): high rice field
田んぼ (たんぼ): paddy field",178
奴,guy,"奴 (やつ): thing
奴隷 (どれい): slave",179
冬,winter,冬 (ふゆ): winter,180
凸,convex,,181
丼,bowl of food,丼 (どんぶり): porcelain bowl,182
尼,nun,,183
白,white,"面白い (おもしろい): interesting
白 (しろ): white
白い (しろい): white
面白 (おもしろ): amusing
白人 (はくじん): white person",184
半,half,"半分 (はんぶん): half
後半 (こうはん): second half
半 (はん): half
時半 (じはん): half past (the hour)
前半 (ぜんはん): first half",185
氾,spread out,,186
犯,crime,"犯罪 (はんざい): crime
犯人 (はんにん): offender",187
皮,skin,"皮膚 (ひふ): skin
皮 (かわ): skin
皮肉 (ひにく): irony",188
必,without fail,"必要 (ひつよう): necessary
必ず (かならず): always
必死 (ひっし): frantic
必須 (ひっす): indispensable
必ずしも (かならずしも): not always",189
氷,ice,氷 (こおり): ice,190
付,attach,"付け (つけ): bill
付き (つき): furnished with
付近 (ふきん): neighbourhood
受付 (うけつけ): reception (desk)
寄付 (きふ): contribution",191
布,linen,"配布 (はいふ): distribution
布 (ぬの): cloth
布団 (ふとん): futon
財布 (さいふ): purse
昆布 (こんぶ): kombu (usu. Saccharina japonica)",192
払,pay,"支払い (しはらい): payment
払う (はらう): to pay (e.g. money, bill)
払い (はらい): payment
支払う (しはらう): to pay",193
丙,third class,,194
平,flat,"平和 (へいわ): peace
平均 (へいきん): average
平成 (へいせい): Heisei era (January 8, 1989-April 30, 2019)
平日 (へいじつ): weekday
平気 (へいき): coolness",195
辺,environs,"辺 (へん): area
周辺 (しゅうへん): circumference
辺り (あたり): on the bank of
近辺 (きんぺん): neighbourhood",196
弁,valve,"弁当 (べんとう): bento
弁護士 (べんごし): lawyer
弁 (べん): speech",197
母,mother,"母 (はは): mother
お母さん (おかあさん): mother
母親 (ははおや): mother
祖母 (そぼ): grandmother
義母 (ぎぼ): mother-in-law",198
包,wrap,包丁 (ほうちょう): kitchen knife,199
北,north,"北 (きた): north
北海道 (ほっかいどう): Hokkaido (island, prefectural-level administrative unit)
東北 (とうほく): north-east
北朝鮮 (きたちょうせん): North Korea
北京 (ペキン): Beijing (China)",200
本,book,"日本 (にほん): Japan
本 (ほん): book
本当に (ほんとうに): really
基本 (きほん): basics
日本人 (にほんじん): Japanese person",201
末,end,"末 (すえ): tip
端末 (たんまつ): end (e.g. of a roll of film)
週末 (しゅうまつ): weekend
年末 (ねんまつ): end-of-year
月末 (げつまつ): end of the month",202
未,not yet,"未来 (みらい): the future (usually distant)
未 (ひつじ): eighth sign of the Chinese zodiac (The Ram, 1pm-3pm, south-southwest, June)
未だ (まだ): still
未満 (みまん): less than
未定 (みてい): not yet fixed",203
民,people,"国民 (こくみん): people (of a country)
市民 (しみん): citizen
住民 (じゅうみん): inhabitant
民主党 (みんしゅとう): Democratic Party (esp. DPJ or US Democratic Party)
民主 (みんしゅ): democracy",204
矛,halberd,矛盾 (むじゅん): contradiction,205
目,eye,"目 (め): eye
目的 (もくてき): purpose
目標 (もくひょう): mark
注目 (ちゅうもく): notice
項目 (こうもく): item",206
由,reason,"理由 (りゆう): reason
自由 (じゆう): freedom
経由 (けいゆ): going through
由来 (ゆらい): origin
不自由 (ふじゆう): discomfort",207
幼,infancy,"幼稚園 (ようちえん): kindergarten
幼い (おさない): very young
幼児 (ようじ): young child
幼少 (ようしょう): infancy",208
用,use,"用 (よう): business
利用 (りよう): use
使用 (しよう): use
用意 (ようい): preparation
活用 (かつよう): practical use",209
立,stand up,"立ち (たち): departure
立場 (たちば): position
独立 (どくりつ): independence
成立 (せいりつ): formation
立派 (りっぱ): splendid",210
