亜 a
宛 a-teru
挨 ai
愛 ai
曖 ai
案 an
嵐 arashi
圧 atsu
扱 atsuka-u
婆 ba
杉 sugi
帥 sui
睡 sui
寸 sun
裾 suso
枢 suu
崇 suu
汰 ta
但 tada-shi
胎 tai
泰 tai
堆 tai
逮 tai
隊 tai
態 tai
戴 tai
滝 taki
宅 taku
択 taku
卓 taku
拓 taku
託 taku
濯 taku
丹 tan
単 tan
胆 tan
誕 tan
棚 tana
達 tatsu
呈 tei
廷 tei
抵 tei
邸 tei
亭 tei
貞 tei
帝 tei
訂 tei
逓 tei
停 tei
偵 tei
艇 tei
適 teki
典 ten
点 ten
展 ten
塡 ten
迭 tetsu
哲 tetsu
鉄 tetsu
徹 tetsu
撤 tetsu
斗 to
徒 to
途 to
栃 tochi
匿 toku
特 toku
督 toku
徳 toku
篤 toku
屯 ton
頓 ton
凸 totsu
到 tou
党 tou
陶 tou
塔 tou
搭 tou
痘 tou
糖 tou
謄 tou
騰 tou
峠 touge
坪 tsubo
椎 tsui
墜 tsui
塚 tsuka
爪 tsume
鶴 tsuru
宇 u
畝 une
浦 ura
鬱 utsu
脇 waki
枠 waku
湾 wan
冶 ya
弥 ya
厄 yaku
約 yaku
闇 yami
予 yo
沃 yoku
翌 yoku
洋 you
容 you
庸 you
陽 you
瘍 you
擁 you
曜 you
喩 yu
愉 yu
輸 yu
唯 yui
幽 yuu
悠 yuu
郵 yuu
猶 yuu
裕 yuu
融 yuu
挫 za
材 zai
剤 zai
財 zai
暫 zan
是 ze
税 zei
禅 zen
漸 zen
膳 zen
俗 zoku
族 zoku
属 zoku
賊 zoku
像 zou
臓 zou
随 zui
髄 zui
縛 baku/shiba-ru
麦 baku/mugi
培 bai/tsuchika-u
買 bai/ka-u
握 aku/nigi-ru
暗 an/kura-i
安 an/yasu-i
罵 ba/nonoshi-ru
馬 ba/uma
梅 bai/ume
罰 batsu/bachi
蔑 betsu/sagesu-mu
別 betsu/waka-reru
鼻 bi/hana
眉 bi/mayu
尾 bi/o
美 bi/utsuku-shii
母 bo/haha
墓 bo/haka
慕 bo/shita-u
募 bo/tsuno-ru
牧 boku/maki
墨 boku/sumi
房 bou/fusa
防 bou/fuse-gu
謀 bou/haka-ru
忙 bou/isoga-shii
傍 bou/katawa-ra
亡 bou/na-i
冒 bou/oka-su
妨 bou/samata-geru
乏 bou/tobo-shii
紡 bou/tsumu-gu
忘 bou/wasu-reru
侮 bu/anado-ru
武 bu/mu
仏 butsu/hotoke
苗 byou/nae
猫 byou/neko
茶 cha/sa
池 chi/ike
致 chi/ita-su
地 chi/ji
置 chi/o-ku
知 chi/shi-ru
築 chiku/kizu-ku
竹 chiku/take
蓄 chiku/takuwa-eru
珍 chin/mezura-shii
朝 chou/asa
嘲 chou/azake-ru
張 chou/ha-ru
貼 chou/ha-ru
彫 chou/ho-ru
挑 chou/ido-mu
聴 chou/ki-ku
町 chou/machi
長 chou/naga-i
眺 chou/naga-meru
潮 chou/shio
丁 chou/tei
弔 chou/tomura-u
鳥 chou/tori
釣 chou/tsu-ru
柱 chuu/hashira
昼 chuu/hiru
鋳 chuu/i-ru
虫 chuu/mushi
中 chuu/naka
仲 chuu/naka
沖 chuu/oki
注 chuu/soso-gu
唾 da/tsuba
打 da/u-tsu
台 dai/tai
奪 datsu/uba-u
泥 dei/doro
溺 deki/obo-reru
田 den/ta
度 do/tabi
努 do/tsuto-meru
独 doku/hito-ri
曇 don/kumo-ru
貪 don/musabo-ru
働 dou/hatara-ku
瞳 dou/hitomi
洞 dou/hora
道 dou/michi
導 dou/michibi-ku
同 dou/ona-ji
童 dou/warabe
営 ei/itona-mu
影 ei/kage
永 ei/naga-i
泳 ei/oyo-gu
鋭 ei/surudo-i
詠 ei/yo-mu
縁 en/fuchi
炎 en/honoo
円 en/maru-i
鉛 en/namari
怨 en/on
猿 en/saru
塩 en/shio
沿 en/so-u
園 en/sono
遠 en/too-i
艶 en/tsuya
不 fu/bu
父 fu/chichi
怖 fu/kowa-i
布 fu/nuno
赴 fu/omomu-ku
夫 fu/otto
敷 fu/shi-ku
幅 fuku/haba
腹 fuku/hara
噴 fun/fu-ku
奮 fun/furu-u
憤 fun/ikidoo-ru
払 futsu/hara-u
封 fuu/hou
風 fuu/kaze
画 ga/kaku
瓦 ga/kawara
牙 ga/kiba
芽 ga/me
蓋 gai/futa
崖 gai/gake
街 gai/machi
顎 gaku/ago
額 gaku/hitai
学 gaku/mana-bu
岳 gaku/take
岩 gan/iwa
顔 gan/kao
岸 gan/kishi
眼 gan/manako
願 gan/nega-u
鯨 gei/kujira
迎 gei/muka-eru
激 geki/hage-shii
隙 geki/suki
撃 geki/u-tsu
原 gen/hara
限 gen/kagi-ru
幻 gen/maboroshi
源 gen/minamoto
弦 gen/tsuru
欺 gi/azamu-ku
戯 gi/tawamu-reru
疑 gi/utaga-u
技 gi/waza
誤 go/ayama-ru
悟 go/sato-ru
互 go/taga-i
愚 gu/oro-ka
隅 guu/sumi
虐 gyaku/shiita-geru
漁 gyo/ryou
玉 gyoku/tama
暁 gyou/akatsuki
牛 gyuu/ushi
波 ha/nami
配 hai/kuba-ru
拝 hai/oga-mu
杯 hai/sakazuki
敗 hai/yabu-reru
迫 haku/sema-ru
判 han/ban
帆 han/ho
飯 han/meshi
半 han/naka-ba
犯 han/oka-su
坂 han/saka
畑 hata/hatake
発 hatsu/hotsu
髪 hatsu/kami
併 hei/awa-seru
兵 hei/hyou
餅 hei/mochi
壁 heki/kabe
癖 heki/kuse
編 hen/a-mu
片 hen/kata
偏 hen/katayo-ru
秘 hi/hi-meru
否 hi/ina
彼 hi/kare
皮 hi/kawa
被 hi/koumu-ru
比 hi/kura-beru
避 hi/sa-keru
扉 hi/tobira
疲 hi/tsuka-reru
浜 hin/hama
品 hin/shina
筆 hitsu/fude
泌 hitsu/hi
匹 hitsu/hiki
必 hitsu/kanara-zu
補 ho/ogina-u
保 ho/tamo-tsu
北 hoku/kita
本 hon/moto
泡 hou/awa
蜂 hou/hachi
褒 hou/ho-meru
