一,one
昼,daytime
柱,pillar
挑,challenge
勅,imperial order
珍,rare
追,follow
亭,pavilion
貞,upright
帝,sovereign
訂,revise
点,point
度,degrees
怒,angry
逃,escape
洞,den
峠,mountain peak
独,alone
栃,horse chestnut
南,south
虹,rainbow
派,sect
背,back
肺,lungs
畑,farm
発,departure
卑,lowly
飛,fly
眉,eyebrow
美,beauty
秒,second (part of time)
品,article
訃,obituary
負,lose
赴,proceed
封,seal
風,wind
柄,design
変,change
便,convenience
保,preserve
胞,placenta
某,so-and-so
冒,risk
勃,rise
盆,basin
昧,foolish
迷,astray
面,face
約,promise
勇,courage
幽,seclude
洋,ocean
要,need
律,law
柳,willow
侶,companion
厘,thousandth
郎,son
挨,push open
案,plan
員,member
院,institution
唄,songs with shamisen
畝,furrow
浦,bay
益,benefit
悦,ecstasy
宴,banquet
桜,cherry tree
翁,venerable old man
俺,i
恩,grace
夏,summer
家,house
荷,luggage
華,splendor
蚊,mosquito
害,harm
格,status
核,nucleus
株,stocks
釜,kettle
陥,collapse
既,previously
記,write down
起,wake up
飢,hungry
鬼,ghost
帰,return
宮,shinto shrine
挙,raise
恐,fear
恭,respect
胸,bosom
脅,threaten
訓,instruction
郡,county
恵,favor
桁,beam
倹,frugal
兼,concurrently
剣,sabre
拳,fist
軒,flats
原,field
個,individual
庫,warehouse
娯,recreation
悟,enlightenment
候,climate
校,school
耕,till
航,cruise
貢,tribute
降,descend
高,tall
剛,sturdy
骨,bone
根,root
唆,tempt
差,distinction
座,sit
挫,sprain
宰,superintend
栽,plantation
剤,dose
財,wealth
索,cord
殺,kill
桟,scaffold
蚕,silkworm
残,remainder
師,expert
恣,selfish
紙,paper
脂,fat
時,time
疾,rapidly
射,shoot
借,borrow
酌,bartending
弱,weak
殊,particularly
珠,pearl
酒,alcoholic drink
修,discipline
袖,sleeve
従,obey
准,quasi-
殉,martyrdom
純,genuine
書,write
徐,gradually
除,exclude
宵,wee hours
将,leader
消,extinguish
症,symptoms
祥,auspicious
称,appellation
笑,laugh
辱,embarrass
唇,lips
娠,with child
振,shake
浸,immersed
真,true
針,needle
陣,camp
粋,chic
衰,decline
凄,uncanny
逝,departed
席,seat
脊,stature
隻,vessels
扇,fan
栓,plug
租,tariff
素,elementary
倉,warehouse
捜,search
挿,insert
桑,mulberry
造,create
息,breath
捉,capture
速,fast
孫,grandchild
帯,sash
泰,peaceful
託,consign
値,value
恥,shame
致,(to) do
畜,livestock
逐,pursue
秩,regularity
衷,inmost
酎,sake
捗,make progress
朕,majestic plural
通,pass through
庭,garden
逓,relay
哲,philosophy
展,expand
徒,junior
途,route
倒,overthrow
凍,frozen
唐,t'ang
島,island
桃,peach tree
討,chastise
透,transparent
党,group
胴,trunk
匿,hide
特,special
悩,trouble
納,settlement
能,ability
破,rend
馬,horse
俳,haiku
配,distribute
倍,double
梅,ume (japanese apricot)
剝,peel
班,squad
畔,paddy-ridge
般,generally
疲,exhausted
秘,secret
被,incur
姫,princess
俵,bag
病,sick
浜,seacoast
敏,cleverness
浮,floating
粉,flour
紛,distract
陛,highness
勉,exertion
哺,suckle
捕,catch
俸,salary
倣,emulate
峰,summit
砲,cannon
剖,divide
紡,spinning
埋,bury
脈,vein
眠,sleep
娘,daughter
冥,dark
耗,decrease
紋,family crest
容,contain
浴,bathe
流,stream
留,detain
竜,dragon
旅,trip
料,fee
倫,ethics
涙,tears
烈,ardent
恋,romance
連,take along
朗,melodious
浪,wandering
脇,aside
悪,bad
尉,military officer
異,uncommon
移,shift
萎,wither
域,range
逸,deviate
淫,lewdness
陰,shade
液,fluid
菓,confectionery
貨,freight
械,contraption
崖,cliff
涯,horizon
殻,husk
郭,enclosure
掛,hang
喝,hoarse
渇,thirst
乾,dry
勘,intuition
患,afflicted
貫,pierce
眼,eyeball
基,foundation
寄,approach
規,rule
亀,turtle
偽,falsehood
菊,chrysanthemum
脚,leg
救,salvation
球,sphere
虚,void
許,permit
魚,fish
強,strong
教,teach
郷,home town
菌,germ
惧,dread
偶,accidentally
掘,dig
啓,disclose
掲,put up (a notice)
渓,mountain stream
経,manage
蛍,lightning-bug
健,healthy
険,precipitous
現,appear
舷,gunwale
康,health
控,withdraw
梗,close up
黄,yellow
黒,black
頃,times
婚,marriage
混,mix
痕,mark
紺,dark blue
彩,coloring
採,pick
済,settle
祭,festival
斎,purification
細,thin
菜,vegetable
埼,cape (geography)
崎,promontory
惨,wretched
産,give birth
斬,kill by slicing
視,look at
鹿,deer
執,tenacious
捨,throw away
赦,pardon
斜,diagonal
蛇,snake
釈,explanation
寂,loneliness
授,instruct
終,end
羞,feel ashamed
習,learn
週,week
渋,astringent
宿,inn
淑,graceful
粛,solemn
術,art
庶,commoner
唱,chant
商,sell
渉,ford
章,chapter
紹,introduce
訟,sue
剰,surplus
常,normal
情,feelings
深,deep
紳,sire
進,advance
推,infer
酔,drunk
崇,adore
据,set
清,pure
盛,prosper
惜,pity
戚,grieve
責,blame
接,contact
設,establish
雪,snow
旋,rotation
船,boat
措,set aside
粗,coarse
組,association
巣,nest
掃,sweep
曹,cadet
曽,formerly
爽,refreshing
窓,window
側,side
族,tribe
率,rate
唾,saliva
堆,piled high
袋,sack
逮,apprehend
第,ordinal number prefix
脱,undress
探,grope
淡,thin
断,cut off
窒,plug up
著,renowned
帳,account book
張,stretch
彫,carve
眺,stare
釣,angling
頂,place on the head
鳥,bird
陳,exhibit
停,halt
偵,spy
笛,flute
添,annexed
転,revolve
都,metropolis
悼,lament
盗,steal
陶,pottery
動,move
堂,public chamber
得,acquire
豚,pork
貪,covet
梨,pear tree
軟,soft
捻,twist
粘,sticky
脳,brain
婆,old woman
排,repudiate
敗,failure
培,cultivate
陪,obeisance
舶,liner
販,marketing
票,ballot
描,sketch
猫,cat
貧,poor
瓶,flower pot
婦,lady
符,token
部,part
副,vice
閉,closed
偏,partial
崩,crumble
訪,visit
望,hope
堀,ditch
麻,hemp
密,secrecy
務,duty
猛,fierce
問,question
野,field
訳,translate
唯,solely
悠,permanence
郵,mail
庸,commonplace
欲,longing
翌,the following
理,reason
陸,land
