学,study,,"学校 (がっこう): school
大学 (だいがく): university, college
学生 (がくせい): student (esp. a university student)
学 (がく): learning, scholarship, study, erudition, knowledge, education
科学 (かがく): science"
合,fit,,"場合 (ばあい): case, situation
合わせ (あわせ): joint together, opposite, facing
試合 (しあい): match, game, bout, contest
組み合わせ (くみあわせ): combination, assortment, set
具合 (ぐあい): condition, state"
幺,"kanji component: short thread",いとがしら,
夂,"kanji component: to follow",のまた,
後,behind,,"後 (あと): behind, rear
最後 (さいご): end, conclusion
その後 (そのあと): after that, afterwards, thereafter
今後 (こんご): from now on, hereafter
午後 (ごご): afternoon, p.m."
持,hold,,"気持ち (きもち): feeling, sensation, mood
持つ (もつ): to hold (in one's hand), to take, to carry
持ち (もち): hold, charge, keep possession, in charge
維持 (いじ): maintenance, preservation, improvement
支持 (しじ): support, backing, endorsement, approval"
古,old,,"古い (ふるい): old, aged, ancient, antiquated, antique, timeworn
名古屋 (なごや): Nagoya (city)
中古 (ちゅうこ): used, second-hand, old
古 (いにしえ): antiquity, ancient times
古く (ふるく): anciently, formerly"
尸,"kanji component: corpse, awning",しかばね,"尸 (しかばね): corpse"
居,reside,,"居 (きょ): residence
居る (おる): to be ..ing
居住 (きょじゅう): residence, abode, dwelling
居酒屋 (いざかや): izakaya, Japanese bar that also serves various dishes and snacks
居心地 (いごこち): comfort"
灬,"kanji component: fire. variant of 火",ひ,
無,nothing,,"無い (ない): unowned, not had, unpossessed
無理 (むり): unreasonable, unnatural, unjustifiable
無料 (むりょう): free (of charge), gratuitous
無事 (ぶじ): safety, peace, quietness
無 (む): nothing, naught, nought, nil, zero"
水,"kanji component: water",みず,"水 (みず): water (esp. cool, fresh water, e.g. drinking water)
水分 (すいぶん): water, liquid, fluid, moisture, humidity, sap, juice
水道 (すいどう): water supply, water service, waterworks
清水 (しみず): spring water
水曜日 (すいようび): Wednesday"
羊,"kanji component: sheep",ひつじ,"羊 (ひつじ): sheep (Ovis aries)
羊羹 (ようかん): yōkan, jellied dessert made from red bean paste, agar, and sugar
子羊 (こひつじ): lamb
羊水 (ようすい): amniotic fluid
羊毛 (ようもう): wool"
様,"formal title",,"様 (ざま): -ways, -wards
様子 (ようす): state, state of affairs, situation, circumstances
様々 (さまざま): varied, various
同様 (どうよう): identical, equal to, same (kind), like, similarity
お客様 (おきゃくさま): guest, visitor"
音,"kanji component: sound, noise",おと,"音 (おと): sound, noise, report
音楽 (おんがく): music
音声 (おんせい): voice, speech, sound of a voice
録音 (ろくおん): (audio) recording
音質 (おんしつ): tone quality, sound quality"
意,idea,,"意味 (いみ): meaning, significance, sense
意識 (いしき): consciousness
意見 (いけん): opinion, view, comment
注意 (ちゅうい): caution, being careful, attention (heed), warning, advice
用意 (ようい): preparation, arrangements, provision, getting ready, laying out (e.g. a meal)"
也,"to be (classical)",,"也 (なり): sum of money"
