賢: 臤 貝
軒: 車 干
遣: ⻌ 中一 㠯  #is4
険: ⻖ 㑒
顕: 显 頁
験: 馬 㑒
元: 二 儿
原: 厂 白 小  #is3
厳: ⺍ 敢 厂  #is3
敢: 丅 耳 攵  #is3
幻: 幺 𠃌
弦: 弓 玄
減: 氵 咸
源: 氵 原
玄: 亠 幺
現: 王 見
言: #is0
限: ⻖ 艮
個: 亻 固
古: 十 口
呼: 口 乎
固: 囗 古
孤: 子 瓜
己: #is0
庫: 車 广
弧: 弓 瓜
戸: 一 尸
故: 古 攵
枯: 木 古
湖: 氵 胡
胡: 古 月
誇: 訁 夸
雇: 戸 隹
顧: 雇 頁
鼓: 壴 支
五: 二 #rad
互: 一 二 彑 #is3
午: 𠂉 十 #rad
呉: 𠃑 口 一 八 #is4
娯: 女 呉
後: 彳 夂 幺 #is3
御: 彳 卸
悟: 忄 吾
碁: 石 其
語: 訁 吾
誤: 訁 呉
護: 訁 蒦
交: 亠 父
侯: 亻 矢 ユ #is3
候: 丨 侯
光: ⺌ 兀
公: 八 厶
功: 力 工
効: 交 力
厚: 厂 日 子 #is3
口: #is0
向: 口 丿 冋 #is3
后: 口 #radonly
坑: 土 亢
好: 女 子
孔: 子 乚
孝: 耂 子
工: #is0
巧: 工 丂
幸: 土 丷 干 #is3
広: 厶 广
康: 广 隶
恒: 忄 亘
慌: 忄 荒
抗: 扌 亢
拘: 扌 句
控: 扌 空
攻: 工 攵
更: 曰 #is1 rad
校: 木 交
構: 木 冓
江: 氵 工
洪: 氵 共
港: 氵 巷
溝: 氵 冓
甲: 田 ｜
皇: 王 白
硬: 石 更
稿: 禾 高
紅: 糸 工
絞: 糸 交
綱: 糸 岡
耕: 耒 井
考: 耂 丂
肯: 肉 止
航: 舟 亢
荒: 艹 巟
行: 彳 亍
衡: 行 𩵋
講: 訁 冓
貢: 貝 工
購: 貝 冓
郊: 交 ⻏
酵: 酉 孝
鉱: 釒 広
鋼: 釒 岡
降: ⻖ 夅
項: 工 頁
香: 日 禾
高: 亠 口 冋  #is3
剛: 岡 刂
号: 口 丂
合: 亼 口
拷: 扌 考
豪: 亠 口 冖 豕 #is4
克: 儿 古
刻: 亥 刂
告: ⺧ 口
国: 囗 玉
穀: 士 冖 禾 殳 #is4
酷: 酉 告
黒: 里 灬
獄: 犬 訁
腰: 肉 要
骨: 冎 肉
込: ⻌ 入
今: 亼 乛
困: 木 囗
墾: 土 貇
婚: 女 昏
恨: 忄 艮
懇: 心 貇
昆: 日 比
根: 木 艮
混: 氵 昆
紺: 糸 甘
魂: 鬼 云
佐: 亻 左
唆: 口 夋
左: 𠂇 工
差: 左 羊
査: 木 且
砂: 石 少
詐: 訁 乍
鎖: 釒 貝 #partial
座: 广 坐
債: 亻 責
催: 亻 崔
再: 一 冉
最: 曰 取
妻: 女 肀 #is2. extra line not meaningful
宰: 宀 辛
彩: 采 彡
才: #is0
採: 扌 采
栽: 木 𢦏
歳: 止 戈 小 #is3
済: 氵 斉
災: 巛 火
砕: 石 卆
祭: 示 月 又 #is3
斎: 斉 小
細: 田 糸
菜: 采 艹
裁: 衣 𢦏
載: 車 𢦏
際: ⻖ 祭
剤: 斉 刂
在: 𠂇 丨 土 #is3
材: 木 才
罪: 罒 非
財: 貝 才
坂: 土 反
咲: 口 关
崎: 山 奇
作: 亻 乍
削: 刂 肖
搾: 扌 窄
昨: 日 乍
策: ⺮ 朿
索: 十 冖 糸 #is3
錯: 釒 昔
桜: 木 ⺍ 女 #is3
冊: 冂 卄
刷: 尸 巾 刂 #is3
察: 宀 祭
撮: 扌 最
擦: 扌 察
札: 木 乚
殺: 殳 木
雑: 杂 隹
皿: #is0
三: #is0
傘: 人 十 𠈌 #is3
参: 厶 彡 大
山: #is0
惨: 忄 参
散: 攵 月
桟: 木 㦮
産: 生 产
算: ⺮ 廾 目 #is3
蚕: 虫 天
賛: 貝 夫
酸: 酉 夋
暫: 日 斬
残: 歹 㦮
仕: 亻 士
伺: 亻 司
使: 亻 吏
刺: 朿 刂
司: 口 #radonly
史: 口 #radonly
嗣: 口 冊 司
四: 儿 囗
士: #is0
始: 女 台
姉: 女 市
姿: 女 次
子: #is0
市: 亠 巾
師: 𠂤 巾
志: 心 士
思: 心 田
指: 扌 旨
支: 十 又
施: 方 𠂉 也
旨: 日 匕
枝: 木 支
止: #is0
死: 歹 匕
氏: #is0
祉: 礻 止
私: 禾 厶
糸: 幺 小
紙: 糸 氏
紫: 糸 此
肢: 肉 支
脂: 肉 旨
至: 一 厶 土
視: 礻 見
詞: 訁 司
詩: 訁 寺
試: 訁 式
誌: 訁 志
諮: 訁 咨
資: 貝 次
賜: 貝 易
雌: 此 隹
飼: 飠 司
歯: 止 米 凵 #is3
事: 亅 一 口 ⺕
似: 亻 以
侍: 亻 寺
児: 儿 旧
字: 子 宀
寺: 土 寸
慈: 心 兹
持: 扌 寺
時: 日 寺
次: 冫 欠
滋: 氵 兹
治: 氵 台
璽: 玉 爾
磁: 石 兹
示: 二 小
耳: #is0
自: #is0
辞: 舌 辛
式: 工 弋
識: 訁 戠
軸: 車 由
七: #is0
執: 土 幸 丸
失: 大 丿 夫 #rad
室: 宀 至
湿: 氵 显
漆: 氵 桼
疾: 疒 矢
質: 貝 斤
実: 宀 大 二
芝: 艹 之
舎: 人 𠮷
写: 冖 与
射: 身 寸
捨: 扌 舎
赦: 赤 攵
斜: 余 斗
煮: 火 者
社: 礻 土
者: 老 日
謝: 訁 射
車: #is0
遮: ⻌ 庶
蛇: 虫 它
邪: 牙 ⻏
借: 亻 昔
勺: 勹 丶
尺: 尸 #is1
爵: ⺤ 罒 艮 寸 #is4
酌: 酉 勺
釈: 釆 尺
若: 艹 右
寂: 宀 叔
弱: 弓 冫
主: 丶 王
取: 又 耳
守: 宀 寸
手: #is0
朱: 丿 未
殊: 歹 朱
狩: 犬 守
珠: 王 朱
種: 禾 重
趣: 走 取
酒: 氵 酉
首: 䒑 自
儒: 亻 需
受: 爪 冖 又 #is3
寿: 三 丿 寸 #is3
授: 扌 受
樹: 木 尌
需: 而 雨
囚: 人 囗
収: 丩 又
周: 口 冂 𠮷
宗: 宀 示
就: 尢 尤 京
州: 巛 #is1
修: 亻 㣊
愁: 心 秋
拾: 扌 合
秀: 禾 乃
秋: 火 禾
終: 糸 冬
習: 羽 白
臭: 自 大
舟: #is0
衆: 血 乑
襲: 衣 龍
週: ⻌ 周
酬: 酉 州
集: 木 隹
醜: 酉 鬼
住: 亻 主
充: 𠫓 儿
十: #is0
従: 彳 䒑 龰 #is3
柔: 木 矛
汁: 氵 十
渋: 氵 止
獣: 畄 一 口 犬 #is4
縦: 糸 従
重: 里 千
銃: 釒 充
叔: 尗 又
宿: 宀 佰
淑: 氵 叔
祝: 礻 兄
縮: 糸 宿
粛: 聿 米
塾: 土 孰
熟: 火 孰
出: 凵 丨 #is2.5
術: 行 朮
述: ⻌ 朮
俊: 亻 夋
春: 日 𡗗
瞬: 目 舜
准: 冫 隹
循: 彳 盾
旬: 日 勹
殉: 歹 旬
準: 氵 淮 十 #is2.7
潤: 氵 閏
盾: 目 斤
純: 糸 屯
巡: ⻌ 巛
遵: ⻌ 尊
順: 巛 頁
処: 夂 几
初: 衤 刀
所: 戸 斤
暑: 日 者
庶: 广 廿 灬 #is3
緒: 糸 者
署: 罒 者
書: 曰 聿
諸: 訁 者
助: 且 力
叙: 又 余
女: #is0
序: 广 予
徐: 彳 余
除: ⻖ 余
傷: 亻 昜
償: 亻 賞
勝: 月 劵
劵: 𠔉 力
匠: 斤 匚
升: 十 廾
召: 刀 口
商: 冏 立
冏: 冂 儿 口 #is3
唱: 口 昌
奨: 大 将
宵: 宀 肖
将: 丬 寽
小: #is0
少: ノ 小
尚: 小 冋
床: 广 木
彰: 彡 章
承: 手 #is1
抄: 扌 少
招: 扌 召
掌: 手 尚
昇: 日 升
昭: 日 召
晶: 日 #triple
松: 木 公
沼: 氵 召
消: 氵 肖
渉: 氵 歩
焼: 火 尭
焦: 火 隹
照: 火 昭
症: 疒 正
省: 少 目
硝: 石 肖
礁: 石 焦
祥: 礻 羊
称: 禾 尓
章: 立 早
笑: ⺮ 禾
粧: 米 庄
紹: 糸 召
肖: 肉 小
衝: 行 重
訟: 訁 公
証: 訁 正
詔: 訁 召
詳: 訁 羊
象: ⺈ 豕 #ispartial
賞: 貝 尚
鐘: 釒 童
障: ⻖ 章
上: #is0
丈: #is0
乗: 丿 #radonly shinjitai
冗: 冖 几
剰: 乗 刂
城: 土 成
場: 土 昜
壌: 土 㐮
嬢: 女 㐮
常: 尚 巾
情: 忄 青
条: 攵 木
浄: 氵 争
状: 丬 犬
畳: 田 冝
蒸: 艹 烝
譲: 訁 㐮
醸: 酉 㐮
錠: 釒 定
嘱: 口 属
飾: 飠 人 巾 #is3
植: 木 直
殖: 歹 直
織: 糸 戠
